title,vader polarity compound score
Birds,-0.5423
Mijn Vlakke Land,-0.5994
Het Laatste Rondje,-0.9081
Amigo,0.8551
The Miracle,0.9991
Nobodys Wife,-0.9917
Mijn Van Straat Geredde Roos,-0.9753
Baggy Trousers,-0.9472
In A Lifetime,-0.8271
Een Beetje Verliefd,-0.5423
Roll Over Lay Down,0.7184
Homburg,-0.9022
Shoes of Lightning,0.9739
Jimmy,-0.8611
Layla,0.9813
Ruthless Queen,-0.9825
Leave the Light On,0.9238
The Turn of a Friendly Card,0.7964
Foto Van Vroeger,-0.8271
Tubular Bells,0.1513
Magnificent,0.981
Domino,0.4215
Hier Komt De Storm,-0.8591
An American Trilogy,0.9909
Real Men,-0.9583
N Vriend,-0.9506
Voor Haar,-0.5994
Binnen,-0.9136
Zij Gelooft In Mij,-0.6597
Kan Ik Iets Voor Je Doen,0.4329
Geef Mij Je Angst,-0.5067
I Still Cry,-0.9941
Het Is Koud Zonder Jou,-0.5574
The Road To Mandalay,-0.9685
Kleine Jongen,-0.34
Memories,-0.9311
Dat Ik Je Mis,-0.296
A Winters Tale,0.996
Lola,0.9935
Verdronken Vlinder,-0.9761
lippy kids,0.7453
Love You Like I Love Myself,0.9891
Dancing On My Own,0.9796
Forbidden Colours,0.8402
The Eve of the War,0.9279
Testament,-0.9946
Dont Give up the Fight,0.9906
San Quentin,-0.9898
Ive Just Lost Somebody,0.9735
De Vlieger,-0.9929
A Ton of Love,0.9959
Liverpool Rain,0.9455
Groot Hart,-0.8466
Binnen Zonder Kloppen,-0.9136
Skandal im Sperrbezirk,-0.9948
Im going home,0.993
Hold Me,0.9951
Bloedend Hart,0.6597
We All Stand Together,0.989
Storm And Thunder,-0.5106
Weak,-0.9981
Il Volo,-0.6808
Welterusten Mijnheer De President,-0.9966
Het Land Van Maas En Waal,-0.6597
Sammy,-0.2732
A Slow Song,0.9591
For Bitter Or Worse,-0.7223
Lay Your Weapons Down,-0.9962
Een Meisje Van Zestien,0.9477
Michel,0.9944
Winter,0.9918
Als De Rook Om Je Hoofd Is Verdwenen,-0.7476
De Vondeling Van Ameland,-0.9716
A Boy Named Sue,-0.9758
Jesus He Knows Me,0.9976
Prikkebeen,-0.9295
Vluchten Kan Niet Meer,-0.5994
R U Kiddin Me,-0.8833
Banger Hart,-0.88
Malle Babbe,-0.5994
Het Dorp,0.765
Three Days In A Row,0.9179
Sacrifice,0.9738
