title,vader polarity compound score
Dance Monkey,0.0387
Memories,0.9851
bad guy,-0.9967
All I Want for Christmas Is You,0.9035
Believer,-0.9939
Shallow,0.6501
Perfect,0.9989
Shape of You,0.9993
High Hopes,0.9983
All of Me,0.9829
Thunder,0.509
One Kiss,0.998
The Less I Know The Better,0.9811
Wake Me Up,0.9946
Last Christmas,0.9964
Havana,0.9331
Someone You Loved,0.9788
Stay With Me,0.994
Christmas Lights,-0.8712
Natural,0.9854
The Scientist,0.233
Pumped Up Kicks,0.9986
Every Breath You Take,-0.8888
Africa,0.9455
Something Just Like This,0.9965
Thinking out Loud,0.9975
Do They Know Its Christmas,0.7399
Youngblood,0.2732
Photograph,0.9922
Bad Liar,-0.9978
Stressed Out,0.9981
Love Yourself,0.9849
Take on Me,0.8628
Livin On A Prayer,0.9858
In the End,-0.8246
Cant Hold Us,0.9964
Happier,0.9978
Back In Black,0.9969
Fairytale of New York,0.9001
Highway to Hell,-0.9968
Creep,0.7467
Shut Up and Dance,-0.3802
Whatever It Takes,0.9945
Hotel California,0.9769
Sweet Home Alabama,0.99
Here Comes The Sun,0.9811
Rocket Man,-0.9899
Uptown Funk,0.9916
Im Yours,0.9991
Do I Wanna Know,0.2982
When I Was Your Man,0.99
September,0.9916
In My Blood,0.9973
Without Me,-0.998
Yellow,0.9766
Shotgun,0.9652
New Light,0.9942
Numb,-0.9825
I Wanna Dance with Somebody,0.9949
Always Remember Us This Way,-0.9433
Californication,0.974
Sweet Dreams,0.9211
Summer Of 69,0.9851
Heathens,0.993
Just Give Me a Reason,0.998
Billie Jean,-0.8985
Thunderstruck,0.971
Fix You,-0.9376
Under the Bridge,0.9977
Losing My Religion,0.504
Feel Good Inc,0.9976
How to Save a Life,0.9424
Fortunate Son,-0.986
The Real Slim Shady,0.9986
Aint No Mountain High Enough,0.994
Happy,0.9981
Wannabe,0.9978
Despacito,0.7762
Gangstas Paradise,0.9918
Faded,-0.8263
Chop Suey,-0.9962
Mr Blue Sky,0.9778
All Star,0.9672
You Give Love A Bad Name,0.9954
Dont Stop Believin,0.8428
November Rain,0.3622
Galway Girl,0.9992
Driving Home for Christmas,0.8873
Cant Stop,0.9993
Sign of the Times,-0.9847
7 Years,0.992
Everybody Wants To Rule The World,0.9757
Zombie,-0.9353
Hey There Delilah,0.9943
Story of My Life,0.9612
With Or Without You,0.0974
Just the Way You Are,0.9981
You Say,0.875
snow hey oh,0.9967
Basket Case,-0.9406
